"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1689","Авторизация с невалидными email и password","LMS","2026-07-27","passed","2026-07-27","Authorization","Authentication","",""
"","1919","Регистрация с валидными данными","LMS","2026-07-27","passed","2026-07-27","Registration","Authentication","",""
"","1877","Авторизация с невалидными email и password","LMS","2026-07-27","passed","2026-07-27","Authorization","Authentication","",""
"","3468","Авторизация с валидными данными","LMS","2026-07-27","passed","2026-07-27","Authorization","Authentication","",""
"","2686","Создание курса с валидными данными","LMS","2026-07-27","passed","2026-07-27","Courses","Courses","",""
"","1646","Прроверка страницы Дашборд","LMS","2026-07-27","passed","2026-07-27","Dashboard","Dashboard","",""
"","1844","Авторизация с невалидными email и password","LMS","2026-07-27","passed","2026-07-27","Authorization","Authentication","",""
"","1585","Проверка навигации из авторизации в регистрацию","LMS","2026-07-27","passed","2026-07-27","Authorization","Authentication","",""
"","1702","Проверка страницы с курсами","LMS","2026-07-27","passed","2026-07-27","Courses","Courses","",""
"","2881","Редактирование курса с валидными данными","LMS","2026-07-27","passed","2026-07-27","Courses","Courses","",""
